name,image,column,row
Golden Lotus Group,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Golden%20Lotus%20Group_D2.png,D,2
GPLUS TRAVEL,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_GPLUS%20TRAVEL_I2.jpg,I,2
"Paradise Vietnam Hotel & Cruises, Halong Bay",https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Paradise%20Vietnam%20Hotel%20%26%20Cruises%20Halong%20Bay_A3.png,A,3
PULLMAN NINH BINH,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_PULLMAN%20NINH%20BINH_J2.png,J,2
Anantara Hoi An Resort,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Anantara%20Hoi%20An%20Resort_J7.png,J,7
Công ty Cổ phần Dịch vụ Hàng không Nội Bài SH AIRPORT LOUNGE,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%B4ng%20ty%20C%E1%BB%95%20ph%E1%BA%A7n%20D%E1%BB%8Bch%20v%E1%BB%A5%20H%C3%A0ng%20kh%C3%B4ng%20N%E1%BB%99i%20B%C3%A0i%20SH%20AIRPORT%20LOUNGE_C2.png,C,2
Sheraton Grand Danang Beach Resort & SPA,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Sheraton%20Grand%20Danang%20Beach%20Resort%20%26%20SPA_D7.png,D,7
Silk Path Hotels & Resorts – PGA Silk Path Đông Triều,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_Silk%20Path%20Hotels%20%26%20Resorts%20%E2%80%93%20PGA%20Silk%20Path%20%C4%90%C3%B4ng%20Tri%E1%BB%81u_D3.jpg,D,3
CÔNG TY TNHH VẬN TẢI DU LỊCH VÀ DVTM LONG HIỀN - ĐỘI XE THU HIỀN,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%94NG%20TY%20TNHH%20V%E1%BA%ACN%20T%E1%BA%A2I%20DU%20L%E1%BB%8ACH%20V%C3%80%20DVTM%20LONG%20HI%E1%BB%80N%20-%20%C4%90%E1%BB%98I%20XE%20THU%20HI%E1%BB%80N_E7.png,E,7
Công ty Cổ phần Phú Mỹ Phát,https://aiaivnchatbot0001.blob.core.windows.net/dnitf/%C4%90%E1%BB%93ng_C%C3%B4ng%20ty%20C%E1%BB%95%20ph%E1%BA%A7n%20Ph%C3%BA%20M%E1%BB%B9%20Ph%C3%A1t_C7.png,C,7
